Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2018-01-02,40.479835510253906,142.0975341796875,59.45050048828125,89.21791076660156,282.8863830566406,132.71484375,103.66718292236328,30.966257095336914,93.47789764404297,107.39928436279297,217.55996704101562,157.68035888671875,126.89264678955078,105.98351287841797,113.85028839111328,87.57186889648438,36.272216796875,146.0846405029297,150.9539031982422,43.10445022583008,79.47416687011719,58.35535430908203,4.929426193237305,74.3599853515625,129.30203247070312,112.30781555175781,198.5352783203125,108.9210433959961,35.98475646972656,29.11124610900879
2018-01-03,40.4727783203125,144.77890014648438,60.209999084472656,89.76795959472656,283.8013000488281,132.9176788330078,104.5409164428711,31.21327781677246,94.1593017578125,107.8603744506836,215.53468322753906,158.50210571289062,125.84420013427734,108.89675903320312,114.93785858154297,87.6611099243164,36.19256591796875,145.46902465820312,150.94752502441406,43.04310607910156,79.84404754638672,58.34616470336914,5.253851413726807,74.26974487304688,129.82090759277344,112.6651840209961,200.61793518066406,110.0053939819336,35.245296478271484,29.365184783935547
2018-01-04,40.66079330444336,144.1687774658203,60.47949981689453,91.26110076904297,282.7243957519531,134.74305725097656,105.92102813720703,31.301589965820312,93.8662109375,107.8123550415039,218.5469970703125,159.76002502441406,127.5447998046875,111.10234069824219,114.9296875,88.9168930053711,36.70231246948242,146.48939514160156,152.9206085205078,43.74081039428711,80.5467529296875,58.30939483642578,5.281546115875244,74.79472351074219,129.11451721191406,112.6651840209961,201.48870849609375,110.41438293457031,35.35957336425781,29.391756057739258
2018-01-05,41.12371826171875,145.02780151367188,61.457000732421875,91.46920013427734,294.32232666015625,136.8727569580078,107.33091735839844,31.735105514526367,93.71235656738281,107.22637176513672,217.43231201171875,161.42880249023438,128.43641662597656,111.6451416015625,115.87821960449219,88.34610748291016,36.69435119628906,146.7846221923828,154.1121368408203,43.69480895996094,81.5453872680664,58.805728912353516,5.3263044357299805,74.84398651123047,131.78997802734375,112.46099090576172,205.330810546875,113.05872344970703,35.27891540527344,29.565969467163086
2018-01-08,40.97098159790039,144.98765563964844,62.34349822998047,90.62762451171875,295.57073974609375,140.31231689453125,108.08551788330078,32.06425857543945,94.1739730834961,105.68934631347656,214.2753143310547,161.0430908203125,127.74295806884766,112.3184814453125,116.02539825439453,88.47657012939453,36.638607025146484,146.68338012695312,153.61245727539062,43.44179153442383,81.62862396240234,59.32963180541992,5.489505767822266,75.23772430419922,132.52133178710938,111.85684204101562,201.76699829101562,113.51526641845703,35.218406677246094,30.002979278564453
2018-01-09,40.966278076171875,147.21945190429688,62.6349983215332,90.96245574951172,303.4615173339844,140.65032958984375,108.37345886230469,31.863569259643555,93.66840362548828,105.61249542236328,216.0878448486328,161.93202209472656,128.79136657714844,112.56582641601562,117.86527252197266,88.9250717163086,36.821800231933594,146.3544921875,154.56698608398438,43.549137115478516,81.5731201171875,58.906837463378906,5.4880218505859375,74.6881332397461,132.58694458007812,112.72478485107422,202.77244567871094,113.2965087890625,35.089229583740234,29.64274024963379
2018-01-10,40.95686721801758,146.802001953125,62.71649932861328,91.59589385986328,305.2055969238281,140.17706298828125,108.02594757080078,32.04019546508789,94.26922607421875,105.1609878540039,216.41970825195312,160.8418426513672,129.68292236328125,112.80631256103516,117.72624206542969,89.90361785888672,36.69435119628906,146.32920837402344,154.4772491455078,43.932498931884766,81.20327758789062,59.02632141113281,5.53104829788208,74.21233367919922,131.1242218017578,112.41842651367188,201.26431274414062,113.1728515625,35.143611907958984,29.43014144897461
2018-01-11,41.18951416015625,146.07948303222656,63.83399963378906,91.15248107910156,312.69598388671875,142.99130249023438,108.32379913330078,32.192718505859375,97.13407135009766,106.62116241455078,217.1004180908203,163.25694274902344,130.3681182861328,112.82006072998047,118.39676666259766,90.38473510742188,36.67045593261719,146.2279815673828,155.22679138183594,44.16250991821289,81.44368743896484,59.090667724609375,5.5409393310546875,73.94983673095703,132.94639587402344,112.6141586303711,202.33258056640625,113.99087524414062,35.429176330566406,29.533491134643555
2018-01-12,41.6148567199707,148.55213928222656,65.26000213623047,91.3696517944336,320.4057312011719,143.92088317871094,109.45570373535156,32.81087112426758,97.88876342773438,108.04291534423828,218.7172088623047,164.7161102294922,131.31752014160156,112.09171295166016,119.18998718261719,91.87701416015625,36.75807189941406,146.37977600097656,156.6105194091797,44.97521209716797,82.84915924072266,59.439918518066406,5.513739585876465,73.50686645507812,135.28428649902344,114.64789581298828,205.2500762939453,114.22867584228516,35.25920867919922,29.784469604492188
2018-01-16,41.40336227416992,148.9535369873047,65.24299621582031,90.79957580566406,319.40509033203125,143.08425903320312,108.11530303955078,32.54595184326172,96.72376251220703,106.33296966552734,219.93405151367188,164.6238250732422,130.34336853027344,112.57957458496094,120.08943939208984,91.55081939697266,37.06074523925781,146.47256469726562,156.78346252441406,47.58970642089844,81.69332885742188,58.29102325439453,5.4427714347839355,74.00727081298828,132.48072814941406,115.3201904296875,209.0742645263672,114.5140151977539,35.123233795166016,29.7313232421875
